,sub,obj,explanation,relation
943,decision,outcome,a decision is another word for an outcome.,Synonym
944,decisive,done,to get a job done there needs to be a decisive person on the team.,Has-Prerequisite
945,decor,outline,decor needs to be outlined to start with.,Has-Prerequisite
946,decor,ornament ,an ornament is part of the decor of a home,PartOf
947,decor,furnishing,decor has a similar meaning as furnishing.,Synonym
948,decor,look,decor has a similar meaning as look.,Synonym
949,defense,offense,the defense is the opposite of the offense.,Antonym
950,defense,offense,the opposite of defense is offense.,Antonym
951,delicious,mouthwatering,delicious has a similar meaning as mouthwatering.,Synonym
952,delicious,tasty,delicious has a similar meaning as tasty.,Synonym
953,design,plan,plan is the another word of design,Synonym
954,diagram,drawing,a diagram is a type of drawing,Category-Exemplar
955,diagram,picture,a diagram is a type of picture,Category-Exemplar
956,difference,change,"to make a difference, you first need to make a change within.",Has-Prerequisite
957,different,dissimilar,"if two things are different they a not similar, or dissimilar",Synonym
958,discuss,argument,an argument is a part of a discussion.,PartOf
959,dismiss,terminate,dismiss is the synonym of the terminate,Synonym
960,doctor,surgeon,a surgeon is a type of doctor.,Category-Exemplar
961,doctor,clinician,doctor has a similar meaning as clinician.,Synonym
962,domestic,family,your household and family are part of your domestic responsibilities.,PartOf
963,domestic,internal,domestic is the another word of internal,Synonym
964,domestic,foreign,something is either foreign or domestic.,Antonym
965,downstairs,upstairs,downstairs is the opposite of upstairs.,Antonym
966,dream,sleep,daily i am getting dream during the sleep time.,PartOf
967,drive,license,get a license and then drive the cars,Has-Prerequisite
968,drive,license,license is very important for drive,Has-Prerequisite
969,drive,vehicle,without vehicle we cannot drive so this is also more related,Has-Prerequisite
970,education,learning,to get an education you need to be learning.,Has-Prerequisite
971,elated,delighted,elated has a similar meaning as delighted.,Synonym
972,elated,thrilled,elated has a similar meaning as thrilled.,Synonym
973,electricity,science,electricity is part of science.,PartOf
974,element,metals,a couple of elements are made of precious metals.,Material-MadeOf
975,element,chemistry,element is the part of the chemistry,PartOf
976,element,krypton,krypton is the part of the element,PartOf
977,elementary,basic,basic is a synonym of elementary.,Synonym
978,embarrassing,frustrate,embarrassing is the synonym of the frustrate,Synonym
979,entire,complete,entire has a similar meaning as complete.,Synonym
980,environment,ocean,the ocean is a part of the environment.,PartOf
981,environment,tree,trees are a part of the environment.,PartOf
982,equivalent,corresponds,equivalent is another form of corresponds,Category-Exemplar
983,escape,flee,escape has a similar meaning as flee.,Synonym
984,especially,mainly,especially has a similar meaning as mainly.,Synonym
985,especially,mostly,mostly has a similar meaning as especially.,Synonym
986,ethanol,alcohol,ethanol is a type of alcohol,Category-Exemplar
987,excellent,great ,great is another word for excellent.,Synonym
988,exciting,stirring,exciting has a similar meaning as stirring.,Synonym
989,exciting,thrilling,exciting has a similar meaning as thrilling.,Synonym
990,explain,understand,"to understand the concept, you need to explain it again.",Has-Prerequisite
991,exterminate,kill,to kill is another word synonymous to exterminate.,Synonym
992,extremely,very,extremely is a synonym for very.,Synonym
993,failing,practice,"when you keep failing, you need to practice more",Has-Prerequisite
994,family,sister,my sister is an important part of my family.,PartOf
995,fantastic,fabulous,fabulous is the another word related to fantastic,Synonym
996,fantasy,magic,a fantasy setting usually contains some type of magic.,Category-Exemplar
997,fantasy,sword,sword and sorcery is a type of fantasy genre.,Category-Exemplar
998,father,mother,my father and mother have a great relationship.,Antonym
999,father,mother,the opposite of father is mother.,Antonym
1000,fickle,picky,fickle is a synonym for picky.,Synonym
1001,fighter,boxer,a boxer is a type of fighter.,Category-Exemplar
1002,final,closing,final has a similar meaning as closing.,Synonym
1003,final,last,final has a similar meaning as last.,Synonym
1004,flashlight,lantern,a flashlight is similar to a lantern.,Synonym
1005,floor,hard,a floor made of tile is very hard.,Material-MadeOf
1006,forgot,remembered,forgot is the opposite of remembered.,Antonym
1007,forgot,failed,failed has a similar meaning as forgot.,Synonym
1008,forgot,remember,i try to remember certain things but often forget because i'm so busy.,Antonym
1009,forgot,remember,"if i forgot something, i didn't remember it.",Antonym
1010,forgot,remember,the opposite of forgetting is remembering.,Antonym
1011,forgot,remember,when i forgot the party i failed to remember it,Antonym
1012,freedom,frustration,i feel a lot of frustration over how people choose to define freedom lately,Synonym
1013,frosting,freeze,frosting is defined the freeze,Synonym
1014,furnace,incinerator,an incinerator is a type of furnace that burns things to produce heat.,Category-Exemplar
1015,furnace,service,the furnace needed to be serviced soon.,Has-Prerequisite
1016,gangster,mob,a gangster is part of the mob,PartOf
1017,gangster,thug,thug is synonymous with gangster.,Synonym
1018,gasp,choke,gasp another word is choke,Synonym
1019,gateway,opening ,a gateway is a type of opening.,Category-Exemplar
1020,gateway,entrance,gateway is the another word of entrance.,Synonym
1021,gateway,entry,gateway is also defined as the entry.,Synonym
1022,gelatin,jelly,gelatin is used to make most types of jelly.,Category-Exemplar
1023,general,specific,general is the opposite of specific.,Antonym
1024,gently,kindly,gently has a similar meaning as kindly.,Synonym
1025,gently,tenderly,gently has a similar meaning as tenderly.,Synonym
1026,glass,clear,glass is a clear substance.,HasProperty
1027,glass,clear,i usually think of glass as being clear such as in a window or in a drinking glass.,HasProperty
1028,glass,cup,a cup can be made of glass.,Material-MadeOf
1029,glass,mirror,a mirror is made of glass.,Material-MadeOf
1030,glass,window,window panes are made of glass.,Material-MadeOf
1031,goose,animal,a goose is an animal.,Category-Exemplar
1032,goose,bird,a goose is a type of bird.,Category-Exemplar
1033,goose,white,a goose is very white in color.,HasProperty
1034,goose,white,goose have white coats on their bodies.,HasProperty
1035,goose,game,a goose is a type of board game.,Category-Exemplar
1036,government,congress,congress is a body of representatives that is part of the government.,PartOf
1037,government,congress,congress is a part of the government.,PartOf
1038,government,congress,congress is part of the american government.,PartOf
1039,government,judiciary,judiciary system is the important part of the government,PartOf
1040,grandma,family,grandma is considered an important party of family,PartOf
1041,grandma,family,my grandma is very important person in my family.,PartOf
1042,grandmother,family,my grandmother is part of my extended family.,PartOf
1043,grater,metal,a cheese grater is normally made of metal,Material-MadeOf
1044,green,colour,green is a type of colour.,Category-Exemplar
1045,grinding,processing,grinding is a form of ingredient processing.,Category-Exemplar
1046,ground,dirt,the ground is made of dirt and rocks.,Material-MadeOf
1047,grounds,soil,grounds can have different types of soil,Category-Exemplar
1048,hardly,narrowly,hardly has a similar meaning as narrowly.,Synonym
1049,hardly,scarcely,hardly has a similar meaning as scarcely.,Synonym
1050,haven,forever,forever live in the haven,Location
1051,haven,refuge,haven has a similar meaning as refuge.,Synonym
1052,haven,retreat,haven has a similar meaning as retreat.,Synonym
1053,heaven,hell,hell is the opposite of heaven,Antonym
1054,heaven,life,heaven will be the best part of life.,PartOf
1055,heavenly,angel,angels live in heaven so they are heavenly.,Location
1056,highest,peak,the highest part of a mountain is called the peak,PartOf
1057,hillbilly,country,hillbillies prefer to live in the country,Location
1058,hillbilly,mountains,the hillbilly usually lives in the mountains.,Location
1059,hillbilly,southern,the hillbilly usually lives in the southern part of the us.,Location
1060,hillbilly,redneck,a hillbilly is similar to a redneck.,Synonym
1061,hippo,large,hippos are some of the world's largest mammals.,HasProperty
1062,hippo,pink,a hippo is a big pink animal.,HasProperty
1063,hippo,africa,hippo live in the continent of africa,Location
1064,hippopotamus,africa,hippopotamuses are animals that live in africa.,Location
1065,hollow,dented,hollow is the synonym of the dented,Synonym
1066,hollow,dished,hollow is also defined as dished,Synonym
1067,horrible,terrible,terrible is another word for horrible.,Synonym
1068,horse,animal,a horse is a type of animal.,Category-Exemplar
1069,horse,animal,a horse is an equestrian animal.,Category-Exemplar
1070,house,door,"the door is a part of a house, without a door you cant get into the house",PartOf
1071,house,window,"a window is a part of a house, every house has a window.",PartOf
1072,house,yard,most houses have a yard attached to them.,PartOf
1073,house,family,my family lives in a small house.,Location
1074,hydrate,drink,if you need to hydrate you need to get a drink,Has-Prerequisite
1075,hydrate,drink,to hydrate yourself you need to drink something,Has-Prerequisite
1076,hydrate,workout,after a workout you need to hydrate your body,Has-Prerequisite
1077,ice,melt,ice needs heat to melt.,Action
1078,idiom,language,idioms are part of language,PartOf
1079,idiotic,dumb,dumb is another word for idiotic.,Synonym
1080,igloo,eskimo,eskimos live in igloos sometimes,Location
1081,igloo,eskimo,the eskimo lived in an igloo.,Location
1082,igloo,ice,igloo's are made of blocks of ice.,Material-MadeOf
1083,igloo,ice,igloos are made of ice.,Material-MadeOf
1084,igloo,ice,the igloo was made of ice,Material-MadeOf
1085,immortal,mortal,mortal is an oppeosite word of immortal.,Antonym
1086,indent,format,indent is a form of format on microsoft word.,Category-Exemplar
1087,indent,nick,indent has a similar meaning as nick.,Synonym
1088,indent,notch,indent has a similar meaning as notch.,Synonym
1089,indoors,outdoors,the uv exposure is less indoors than outdoors.,Antonym
1090,insertion,military,insertion is one type of military operation,Category-Exemplar
1091,inside,outside,inside and outside are opposites.,Antonym
1092,instant,immediately,instantly is another word for immediately,Synonym
1093,instant,moment,instant is a synonym for moment.,Synonym
1094,interested,curious,curious is a synonym for interested,Synonym
1095,interested,engaged,engaged is used as a synonym for interested,Synonym
1096,intervene,intercede,intervene has a similar meaning as intercede.,Synonym
1097,intervene,interrupt,intervene has a similar meaning as interrupt.,Synonym
1098,intervene,intrude,often times when someone intervenes on another person it is very similar to intruding.,Synonym
1099,intrinsic,inherent,intrinsic properties are similar to an inherent trait.,Synonym
1100,inward,inside,inward is similar to looking inside of something.,Synonym
1101,jacket,clothing,a jacket is an item of clothing,Category-Exemplar
1102,jacket,coat ,a jacket is a form of a coat,Category-Exemplar
1103,jerky,beef,the jerky is made of beef.,Material-MadeOf
1104,jester,comedian,jesters are similar to modern day comedians.,Synonym
1105,jobless,inactive,jobless is the synonym of the inactive.,Synonym
1106,jobless,unemployed,jobless also defined as the unemployed,Synonym
1107,jolly,happy,jolly is a synonym of happy.,Synonym
1108,jolly,merry,jolly is another word for merry.,Synonym
1109,judgment,decision,a decision can be synonymous for a judgment.,Synonym
1110,lately,recently,lately has a similar meaning as recently.,Synonym
1111,lately,recently,recently is another word to describe lately.,Synonym
1112,learn,knowledge,i gained much knowledge from the lessons i learned in school.,Result-In
1113,learn,knowledge,when you learn something you gain knowledge.,Result-In
1114,ledger,account book,ledger is also defined as the account book,Synonym
1115,ledger,record,ledger is defined as the record,Synonym
1116,legal,illegal,if something is not legal it is illegal.,Antonym
1117,legal,illegal,the opposite of being legal is illegal.,Antonym
1118,liberty,right,liberty is a form of human right.,Category-Exemplar
1119,lieutenant,military,a lieutenant is part of the military.,PartOf
1120,local,inhabitant,local has a similar meaning as inhabitant.,Synonym
1121,local,native,local has a similar meaning as native.,Synonym
1122,locked,sealed,a locked gate is similar to a sealed entrance an egyptian tomb.,Synonym
1123,longer,shorter,shorter is the opposite of longer.,Antonym
1124,longer,largest,longer is another word of largest,Synonym
1125,longer,superior,longed is defined as the superior,Synonym
1126,loose,sloppy,a loose meat sandwich is similar to a sloppy joe.,Synonym
1127,loose,tight,"it was supposed to be loose, but it's tight.",Antonym
1128,loosen,tie,when you wear a tie to take it off you need to loosen it,Has-Prerequisite
1129,loosen,slacken,loosen word is similar to slacken,Synonym
1130,lord,ruler,a ruler is another word for a lord.,Synonym
1131,loudly,quietly,loudly is the opposite of quietly.,Antonym
1132,madam,lady,a madam is another word for a lady.,Synonym
1133,madam,woman,a madam is another word for a woman.,Synonym
1134,major,minor,the opposite of major is minor.,Antonym
1135,majority,minority,majority is the opposite of minority.,Antonym
1136,majority,minority,the opposite of majority is minority.,Antonym
1137,makeup,lipstick,lipstick is one type of makeup.,Category-Exemplar
1138,makeup,powder,makeup also come in the form of powder.,Category-Exemplar
1139,matter,substance,matter is a type of substance.,Category-Exemplar
1140,matter,particles,particles are just a part of matter.,PartOf
1141,matter,business,matter has a similar meaning as business.,Synonym
1142,maxim,wide,wide is synonym of the word maxim,Synonym
1143,maybe,perhaps,maybe is a synonym for perhaps.,Synonym
1144,mayor,town,the mayor is having a meeting at town hall,Location
1145,mayor,government,a mayor is part of the government,PartOf
1146,mayor,town,a mayor is part of a town's government.,PartOf
1147,mechanics,worker,a mechanic is a type of worker.,Category-Exemplar
1148,medicine,cabinet,i have a special cabinet for my medicines.,Location
1149,medicine,cabinet,"if you feel sick, there is some medicine in the cabinet.",Location
1150,medicine,pills,a lot of medicine comes in the form of pills,Category-Exemplar
1151,medicine,illness,"when someone is experiencing an illness, they usually require medicine to get well.",Has-Prerequisite
1152,merchandise,shop,merchandise was stored in the shop,Location
1153,merchandise,shirt,shirt is the part of the merchandise,PartOf
1154,millions,bills,millions of dollars are printed in the form of bills by the government.,Category-Exemplar
1155,mischievous,bad,mischievous has a similar meaning as bad.,Synonym
1156,misguided,human,being occasionally misguided is an unavoidable part of the human experience.,PartOf
1157,mission,military,mission is something that is defined in the military service,Synonym
1158,mission,plan,a mission is another word for plan.,Synonym
1159,monarchy,queen,the queen was a part of the monarchy with major influence,PartOf
1160,monster,bed,a monster might be hiding under the bed.,Location
1161,monster,bed,i look for monsters underneath my bed.,Location
1162,monster,dark,monsters live in dark places.,Location
1163,morning,coffee,people commonly have coffee as a part of their morning routine,PartOf
1164,mother,mom,"when i think of the word mother, i also think of its synonym, which is mom.",Synonym
1165,nasal,nose,your nasal cavity is part of your nose.,PartOf
1166,nasal,throat,the throat is part of the nasal area.,PartOf
1167,nauseous,puke,"if i feel nauseous, then i feel like i need to puke.",Has-Prerequisite
1168,negatively,positively,negatively is the opposite of positively.,Antonym
1169,neglect,ignore,ignoring your children is a form of neglect.,Category-Exemplar
1170,nickel,coin,a nickel is a type of coin.,Category-Exemplar
1171,nickel,coins,a nickel is a type of coin.,Category-Exemplar
1172,nickel,metal ,nickel is a type of metal.,Category-Exemplar
1173,north,south,north is the opposite side of the south,Antonym
1174,notify,inform,notify has a similar meaning as inform.,Synonym
1175,notify,tell,notify has a similar meaning as tell.,Synonym
1176,notwithstanding,but,but has a similar meaning to notwithstanding.,Synonym
1177,notwithstanding,however,however is a synonym of notwithstanding.,Synonym
1178,nurse,hospital,a nurse works at the hospital.,Location
1179,nurse,hospital,my son wants to be a nurse in a hospital.,Location
1180,nurse,hospital,"nurses work in hospitals, so hospital quickly came to mind.",Location
1181,nurse,hospital,the nurse worked hard in the emergency room at the hospital.,Location
1182,objective,mission,my objectives are part of my mission.,PartOf
1183,objective,subjective,the opposite of objective is subjective.,Antonym
1184,opening,closing,the opposite of an opening is a closing.,Antonym
1185,opinion,newspaper,i see a lot of opinion pieces in the newspaper,Location
1186,outfit,pants,pants are part of a persons everyday outfit.,PartOf
1187,outside,inside,the opposite of outside is inside.,Antonym
1188,overdue,delayed,overdue is the synonym of the delayed.,Synonym
1189,overdue,late,overdue is also defined as the late,Synonym
1190,overwhelm,swamp,swamp whose meaning is similar to the word overwhelm,Synonym
1191,palace,king,the king lived in a palace with his family,Location
1192,palace,queen,"her majesty, the queen lives in the palace.",Location
1193,palace,royalty,usually only royalty get to live in palaces.,Location
1194,paper,tree,the paper is gotten from the tree.,Material-MadeOf
1195,parliament,government,parliament is a type of government in many countries.,Category-Exemplar
1196,parliament,government,parliament is part of the government.,PartOf
1197,payment,zelle,zelle was an accepted form of payment at the store,Category-Exemplar
1198,peace,love,love is needed to make peace.,Has-Prerequisite
1199,pensive,cerebral,cerebral is another word for pensive because pensive is used to indicate serious thought.,Synonym
1200,percolator,machine,percolator is a form of machine that is used to brew coffee.,Category-Exemplar
1201,pessimist,optimist,"an optimist is the opposite of a pessimist,",Antonym
1202,pessimist,optimists,pessimists are the polar opposites of optimists.,Antonym
1203,pessimist,optimist,the opposite of a pessimist is an optimist.,Antonym
1204,physically,body,to do something physically you need to use your body.,Has-Prerequisite
1205,piano,heavy,a piano is usually really heavy.,HasProperty
1206,piano,music,a piano is used to make music.,Function
1207,piano,music,a piano is used to produce music.,Function
1208,piano,music,piano is a beautiful instrument that plays music.,Function
1209,piano,instrument,a piano is a type of musical instrument.,Category-Exemplar
1210,picture,photograph,a picture is another word for a photograph.,Synonym
1211,piety,shrine,i think of a piety as being similar to a shrine as both the piety and shrine are treated as sacred objects.,Synonym
1212,place,arrange,"as a verb, ""place"" has a similar definition to arrange.",Synonym
1213,planet,galaxy,in our galaxy several planets are there,Location
1214,planet,space,there are many planets in outer space.,Location
1215,planet,universe,there are many planets in the universe.,Location
1216,plant,garden,i planted flowers in my garden.,Location
1217,platypus,animal,the platypus is an animal that is found in australia.,Category-Exemplar
1218,platypus,animal,the platypus was an animal that lived in the water,Category-Exemplar
1219,platypus,mammal,a platypus is a mammal.,Category-Exemplar
1220,platypus,mammal,the duck-billed platypus is a mammal.,Category-Exemplar
1221,police,government,police are part of a government.,PartOf
1222,policy,law,a law is one type of a policy.,Category-Exemplar
1223,poorly,crappy,"when things are done poorly, a synonym i like to use is crappy",Synonym
1224,portray,describe,portray is also defined as the describe,Synonym
1225,potato,vegetable,a potato is a type of vegetable.,Category-Exemplar
1226,potato,vegetable,a potato is a vegetable.,Category-Exemplar
1227,potato,vegetable,potato is a type of vegetable,Category-Exemplar
1228,potato,vegetables,a potato is a type of vegetable.,Category-Exemplar
1229,powder,coke,coke is a form of powder.,Category-Exemplar
1230,pray,faith,a person of faith prays a lot.,Has-Prerequisite
1231,premium,reward,premium is defined as the reward,Synonym
1232,previously,before,previously is a synonym for before.,Synonym
1233,priest,church,the priest lived in the church,Location
1234,princess,palace,a princess lives in a palace.,Location
1235,probably,likely,probably is a synonym for likely.,Synonym
1236,professor,teacher,a professor is a type of teacher.,Category-Exemplar
1237,professor,college,the word professor is almost synonymous to college or university.,Synonym
1238,program,television,i watch a program on my television.,Location
1239,program,television,there are a lot of programs on the television.,Location
1240,program,initiative,program has a similar meaning as initiative.,Synonym
1241,program,plan,program has a similar meaning as plan.,Synonym
1242,proof,evidence,if you are giving proof there usually needs to be some type of evidence.,Category-Exemplar
1243,proud,haughty,haughty is the synonym of the proud,Synonym
1244,prove,evidence,evidence is needed to prove a theory.,Has-Prerequisite
1245,proxy,agent,proxy is the synonym of agent,Synonym
1246,proxy,broker,proxy is also defined as the broker,Synonym
1247,public,known,public has a similar meaning as known.,Synonym
1248,public,overt,public has a similar meaning as overt.,Synonym
1249,purse,bag,purse is a small form of bag,Category-Exemplar
1250,purse,clutch,a clutch is a type of purse.,Category-Exemplar
1251,question,inquiry,question has a similar meaning as inquiry.,Synonym
1252,question,query,question has a similar meaning as query.,Synonym
1253,quick,fast,quick is the synonym of the fast,Synonym
1254,quick,rapid,quick is also defined as a rapid,Synonym
1255,quiet,loud,quiet is the opposite of loud.,Antonym
1256,quiet,noisy,quiet is the opposite of noisy.,Antonym
1257,rabbit,animal,a rabbit is a small type of animal.,Category-Exemplar
1258,rabbit,animal,"i can not eat the meat from most animals, for example, a rabbit.",Category-Exemplar
1259,rabbit,animal,rabbit is a fast animal.,Category-Exemplar
1260,rabbit,furry,the rabbit was big and furry.,HasProperty
1261,rabbit,pet,he kept a rabbit as a pet.,Function
1262,rabbit,warren,the rabbits lived in an extensive warren.,Location
1263,raspberry,fruit,a raspberry is a fruit.,Category-Exemplar
1264,raspberry,fruit,a raspberry is a type of fruit.,Category-Exemplar
1265,raspberry,fruit,i have always had the doubt whether raspberry is a fruit or a berry.,Category-Exemplar
1266,raspberry,fruit,raspberry is a fruit that few people talk about,Category-Exemplar
1267,raspberry,fruit,raspberry is a type of fruit.,Category-Exemplar
1268,raspberry,pink,the sweet raspberry was pink.,HasProperty
1269,raspberry,red,raspberries are mostly red in color.,HasProperty
1270,raspberry,red,raspberries are small red colored fruit.,HasProperty
1271,raspberry,red,she woke up early to go and find red raspberries for the pie she's making.,HasProperty
1272,ratio,geometry,ratios are a part of geometry.,PartOf
1273,reading,scrutiny,reading has a similar meaning as scrutiny.,Synonym
1274,regardless,anyway,anyway is just another synonym for regardless.,Synonym
1275,relationship,family,family is a type of relationship.,Category-Exemplar
1276,relationship,association,relationship has a similar meaning as association.,Synonym
1277,relationship,link,relationship has a similar meaning as link.,Synonym
1278,relax,chill,chill is just another word for laying back and relaxing.,Synonym
1279,replace,convert,"to convert something into something else, you need to replace parts.",Has-Prerequisite
1280,replace,change,replace also defined as the change,Synonym
1281,replace,substitute,replace is the synonym of the substitude,Synonym
1282,rescue,equipment,equipment is needed to perform a rescue.,Has-Prerequisite
1283,rhapsody,bohemian,the word rhapsody is part of a song name called bohemian rhapsody.,PartOf
1284,rifle,gun,a rifle is a dangerous gun.,Category-Exemplar
1285,rifle,gun,a rifle is a type of gun,Category-Exemplar
1286,rifle,gun,a rifle is a type of gun.,Category-Exemplar
1287,rifle,hunting,he killed them with his hunting rifle.,Function
1288,rifle,hunting,"if you are hunting deer, you need to being along a rifle.",Function
1289,rifle,shot,a rifle has to be shot to fire.,Function
1290,rifle,weapon,a rifle is a weapon,Category-Exemplar
1291,rifle,weapon,rifles have been used as weapons in war for a very long time.,Category-Exemplar
1292,rifle,hunting,"if you are hunting deer, you need to being along a rifle.",Has-Prerequisite
1293,right,left,i need to know whether to turn left or right when driving.,Antonym
1294,roman,dress,the roman type of dress was plain.,Category-Exemplar
1295,roughly,forcefully,roughly has a similar meaning as forcefully.,Synonym
1296,roughly,violently,roughly has a similar meaning as violently.,Synonym
1297,running,cardio,running is a good form of cardio training.,Category-Exemplar
1298,running,sport,running is regarded as a type of sport.,Category-Exemplar
1299,sandpaper,harsh,sandpaper has a harsh texture.,HasProperty
1300,sandpaper,rough,the sandpaper was too rough for the job.,HasProperty
1301,sandpaper,rough,the sandpaper was very rough on the outside,HasProperty
1302,sandpaper,sanding,i need sandpaper for sanding.,Function
1303,savior,brave,a savior needs to be brave in order to save others.,Has-Prerequisite
1304,scared,frightened,frightened is a synonym for scared.,Synonym
1305,score,tally,a score is a type of tally kept in a game between two teams.,Category-Exemplar
1306,seductive,sexy,sexy is another word for seductive.,Synonym
1307,seldom,rarely,seldom is a synonym for rarely.,Synonym
1308,sense,taste,taste is a type of sense.,Category-Exemplar
1309,sequence,line,"a line is a form of sequence, one after the other.",Category-Exemplar
1310,seriously,earnestly,seriously has a similar meaning as earnestly.,Synonym
1311,seriously,solemnly,seriously has a similar meaning as solemnly.,Synonym
1312,settle,relax,"if you want to settle down, then you need to relax.",Has-Prerequisite
1313,settle,situate,if you want to settle then you need to situate everything.,Has-Prerequisite
1314,settle,resolve,settle has a similar meaning as resolve.,Synonym
1315,shaker,container,a shaker is a type of container.,Category-Exemplar
1316,shaker,glass,a salt shaker may be made of glass.,Material-MadeOf
1317,shanty,poor,poor people lives in shanty.,Location
1318,shark,ocean,sharks are found in the ocean.,Location
1319,shark,ocean,"sharks hunt in the water, so be careful at the ocean if you see one.",Location
1320,shark,tank,sharks are sometimes locked in tanks.,Location
1321,shark,big,the shark is very big.,HasProperty
1322,shark,large,sharks are very dangerous and extremely large.,HasProperty
1323,shark,sea,sharks usually live in the sea.,Location
1324,shears,tool,shears is a form of tool.,Category-Exemplar
1325,shrink,grow,grow is the opposite of shrink.,Antonym
1326,silver,metal,silver is a type of metal.,Category-Exemplar
1327,silver,cutlery,all of the cutlery was made of silver.,Material-MadeOf
1328,silver,jewelry,i prefer my jewelry that is made of silver rather than gold.,Material-MadeOf
1329,silver,ring,the ring on the woman's finger was made of silver,Material-MadeOf
1330,simply,unburdened,simply defines a condition where one is unburdened of many things in a situation.,Synonym
1331,sincerely,truly,sincerely is a synonym of truly.,Synonym
1332,single,married,a single person is not married.,Antonym
1333,singular,plural,singular is the opposite of plural,Antonym
1334,skill,prowess,skill has a similar meaning as prowess.,Synonym
1335,skunk,animal,a skunk is one of many types of animals.,Category-Exemplar
1336,skunk,animal,the animal that i had run over was a skunk.,Category-Exemplar
1337,skunk,smelly,skunks can be very smelly,HasProperty
1338,skunk,stripe,the stunk had a large stripe.,HasProperty
1339,small,big,small is the antonym of the big,Antonym
1340,small,big,the opposite of small is big.,Antonym
1341,small,large,the opposite of small is large.,Antonym
1342,snuggle,nestle,snuggle has a similar meaning as nestle.,Synonym
1343,snuggle,settle,snuggle has a similar meaning as settle.,Synonym
1344,soccer,sport,soccer is a form of sport,Category-Exemplar
1345,socialism,government,socialism is a form of politics which i associate with the government.,Category-Exemplar
1346,socialism,government,socialism is a type of government.,Category-Exemplar
1347,solvent,chemical,solvents are usually made with harsh chemicals.,Material-MadeOf
1348,solvent,cleaner,the cleaner was made of two different solvent liquids.,Material-MadeOf
1349,sooner,later,later is the opposite of sooner.,Antonym
1350,south,north,south is the opposite of north directions wise,Antonym
1351,south,north,south is the opposite of north.,Antonym
1352,sowing,soil,"when you're sowing something, you need to use soil to plant it.",Has-Prerequisite
1353,spaghetti,pasta,spaghetti is a specific type of stringy pasta.,Category-Exemplar
1354,spaghetti,pasta,spaghetti is a type of pasta.,Category-Exemplar
1355,speech,talk,speech is a synonym of talk.,Synonym
1356,speech,talking,talking is another word for speech,Synonym
1357,spiky,style,spiky is a type of hair style.,Category-Exemplar
1358,split,cut,"if you want to split an object, you need to cut it.",Has-Prerequisite
1359,spring,fall,spring is the opposite season of fall.,Antonym
1360,squeak,screak,squeak is the synonym of the screak,Synonym
1361,stability,assurance,assurance is a form of stability and vice versa.,Category-Exemplar
1362,stage,theater,actors perform on a stage in a theater.,PartOf
1363,stairs,wood,many stairs are made of wood,Material-MadeOf
1364,stall,barn,the barn was full of dirty stalls that needed to be cleaned.,Location
1365,stall,bathroom,i expect to find a stall in a bathroom.,Location
1366,stall,bathroom,i waited at the bathroom stall to pee.,Location
1367,stall,bathroom,the bathroom stall was occupied,Location
1368,stall,bathroom,there are many stalls in the bathroom,Location
1369,stall,bathroom,there are stalls inside a public bathroom.,Location
1370,stall,horse,horses live in stalls in a barn.,Location
1371,steak,grill,a steak is a type of meat that is often cooked on a grill.,Location
1372,steak,meat,steak is a type of meat.,Category-Exemplar
1373,stencil,sheet,stencil can be a form of a thin sheet.,Category-Exemplar
1374,stick,branch,the stick is a branch of the tree,Synonym
1375,stone,construction,the stone used for construction was the best,Function
1376,stone,gem,a gem is a type of valuable stone.,Category-Exemplar
1377,stone,mountain,a mountain is made of stone.,Material-MadeOf
1378,stone,wall,a wall can be made of stone.,Material-MadeOf
1379,stone,rock,a stone is another word for a rock.,Synonym
1380,store,market,a market is another word for a store.,Synonym
1381,storm,sea,a sea storm is a storm in the ocean.,Location
1382,storm,tornado,a tornado is a type of storm.,Category-Exemplar
1383,storm,tornado,a tornado is similarly destructive like a storm is.,Synonym
1384,story,fable,a fable is a type of story.,Category-Exemplar
1385,story,tale ,a fairy tale is a type of story.,Category-Exemplar
1386,strand,string,a strand of something is similar to a string of something in terms of scope.,Synonym
1387,streets,concrete,the streets are made of concrete.,Material-MadeOf
1388,strength,weakness,i have a few strengths and more than one weakness.,Antonym
1389,strike,unite,if they wanted to strike they would need to unite.,Has-Prerequisite
1390,strip,withdraw,strip is the synonym of the withdraw,Synonym
1391,stuck,move,"if i'm stuck, i am unable to move.",Antonym
1392,student,classroom,a student learns within the classroom environment.,Location
1393,student,school,students go to school to learn,Location
1394,student,school,students usually go to some kind of school,Location
1395,student,school,the students went to school at 7 in the morning,Location
1396,suburb,town,a suburb is a part of a town,PartOf
1397,sudden,unforeseen,sudden has a similar meaning as unforeseen.,Synonym
1398,sugar,galactose,galactose is the part of the sugar,PartOf
1399,sunrise,sunset,the sunrise and sunset took place at very different times,Antonym
1400,supposed,thought,supposed is a synonym of thought.,Synonym
1401,sustain,monitor,"in order to sustain a resource, you need to monitor it.",Has-Prerequisite
1402,synonym,antonym,antonym is the opposite of synonym.,Antonym
1403,synonym,similar,a synonym is using another word that has a similar meaning to the word you first used.,Synonym
1404,synonym,antonym,antonym is the antonym of synonym.,Antonym
1405,synonym,antonym,synonym and antonym's are opposites,Antonym
1406,syringe,needle,a syringe is another word for a needle.,Synonym
1407,table,chairs,a table has with chairs with it,Thematic
1408,table,round,"the table was round, and it took up too much space.",HasProperty
