,cue,association,explanation,relation,source
6586,angled,fish,angled is another word for fish,synonym,fillin
6587,angled,water,angled is another word for water,synonym,fillin
6588,angled,dog,angled is another word for dog,synonym,fillin
6589,angled,horse,angled is another word for horse,synonym,fillin
6590,angled,man,angled is another word for man,synonym,fillin
6591,angled,love,angled is another word for love,synonym,fillin
6592,angle,pitch,angle has a similar meaning as pitch.,synonym,fillin
6593,angle,length,angle has a similar meaning as length.,synonym,fillin
6594,angle,distance,angle has a similar meaning as distance.,synonym,fillin
6595,angle,triangle,angle has a similar meaning as triangle.,synonym,fillin
6596,angle,point,angle has a similar meaning as point.,synonym,fillin
6597,angle,slope,angle has a similar meaning as slope.,synonym,fillin
6598,angle,slant,angle has a similar meaning as slant.,synonym,fillin
6599,angle,height,angle has a similar meaning as height.,synonym,fillin
6600,angle,range,angle has a similar meaning as range.,synonym,fillin
6601,angle,pitch,angle has a similar meaning as pitch,synonym,fillin
6602,angle,point,angle has a similar meaning as point,synonym,fillin
6603,angle,oblique,angle has a similar meaning as oblique,synonym,fillin
6604,angle,angles,angle has a similar meaning as angles,synonym,fillin
6605,angle,length,angle has a similar meaning as length,synonym,fillin
6606,angle,slant,angle has a similar meaning as slant,synonym,fillin
6607,angle,slope,angle has a similar meaning as slope,synonym,fillin
6608,angle,triangle,angle has a similar meaning as triangle,synonym,fillin
6609,animal,horse,a horse is a type of animal.,category-exemplar-pairs,fillin
6610,animal,pig,a pig is a type of animal.,category-exemplar-pairs,fillin
6611,animal,cow,a cow is a type of animal.,category-exemplar-pairs,fillin
6612,animal,dog,a dog is a type of animal.,category-exemplar-pairs,fillin
6613,animal,donkey,a donkey is a type of animal.,category-exemplar-pairs,fillin
6614,animal,cat,a cat is a type of animal.,category-exemplar-pairs,fillin
6615,animal,bear,a bear is a type of animal.,category-exemplar-pairs,fillin
6616,animal,kangaroo,a kangaroo is a type of animal.,category-exemplar-pairs,fillin
6617,animal,rat,a rat is a type of animal.,category-exemplar-pairs,fillin
6618,animal,goat,a goat is a type of animal.,category-exemplar-pairs,fillin
6619,animal,human,a human is a type of animal,category-exemplar-pairs,fillin
6620,animal,species,a species is a type of animal,category-exemplar-pairs,fillin
6621,animal,genus,a genus is a type of animal,category-exemplar-pairs,fillin
6622,animal,plant,a plant is a type of animal,category-exemplar-pairs,fillin
6623,animal,mammal,a mammal is a type of animal,category-exemplar-pairs,fillin
6624,animal,person,a person is a type of animal,category-exemplar-pairs,fillin
6625,animal,creature,a creature is a type of animal,category-exemplar-pairs,fillin
6626,animal,subject,a subject is a type of animal,category-exemplar-pairs,fillin
6627,animal,primate,a primate is a type of animal,category-exemplar-pairs,fillin
6628,animal,group,a group is a type of animal,category-exemplar-pairs,fillin
6629,animal,horse,a horse is a common type of animal.,category-exemplar-pairs,fillin
6630,animal,pig,a pig is a common type of animal.,category-exemplar-pairs,fillin
6631,animal,dog,a dog is a common type of animal.,category-exemplar-pairs,fillin
6632,animal,cow,a cow is a common type of animal.,category-exemplar-pairs,fillin
6633,animal,cat,a cat is a common type of animal.,category-exemplar-pairs,fillin
6634,animal,bear,a bear is a common type of animal.,category-exemplar-pairs,fillin
6635,animal,donkey,a donkey is a common type of animal.,category-exemplar-pairs,fillin
6636,animal,kangaroo,a kangaroo is a common type of animal.,category-exemplar-pairs,fillin
6637,animal,goat,a goat is a common type of animal.,category-exemplar-pairs,fillin
6638,animal,monkey,a monkey is a common type of animal.,category-exemplar-pairs,fillin
6639,animal,human,a human is a common type of animal,category-exemplar-pairs,fillin
6640,animal,species,a species is a common type of animal,category-exemplar-pairs,fillin
6641,animal,bird,a bird is a common type of animal,category-exemplar-pairs,fillin
6642,animal,mammal,a mammal is a common type of animal,category-exemplar-pairs,fillin
6643,animal,primate,a primate is a common type of animal,category-exemplar-pairs,fillin
6644,animal,plant,a plant is a common type of animal,category-exemplar-pairs,fillin
6645,animal,cat,a cat is a common type of animal,category-exemplar-pairs,fillin
6646,animal,horse,a horse is a common type of animal,category-exemplar-pairs,fillin
6647,animal,person,a person is a common type of animal,category-exemplar-pairs,fillin
6648,animal,dog,a dog is a common type of animal,category-exemplar-pairs,fillin
6649,animal,genus,animal defined as the genus,synonym,fillin
6650,animal,species,animal defined as the species,synonym,fillin
6651,animal,animals,animal defined as the animals,synonym,fillin
6652,animal,opposite,animal defined as the opposite,synonym,fillin
6653,animal,creature,animal defined as the creature,synonym,fillin
6654,animal,dog,animal defined as the dog,synonym,fillin
6655,animal,plant,animal defined as the plant,synonym,fillin
6656,annually,christmas,annually has a similar meaning as christmas.,synonym,fillin
6657,annually,month,annually has a similar meaning as month.,synonym,fillin
6658,annually,january,annually has a similar meaning as january.,synonym,fillin
6659,annually,october,annually has a similar meaning as october.,synonym,fillin
6660,annually,december,annually has a similar meaning as december.,synonym,fillin
6661,annually,spring,annually has a similar meaning as spring.,synonym,fillin
6662,annually,july,annually has a similar meaning as july.,synonym,fillin
6663,annually,summer,annually has a similar meaning as summer.,synonym,fillin
6664,annually,april,annually has a similar meaning as april.,synonym,fillin
6665,annually,august,annually has a similar meaning as august.,synonym,fillin
6666,annually,water,annually has a similar meaning as water,synonym,fillin
6667,annually,love,annually has a similar meaning as love,synonym,fillin
6668,annually,rain,annually has a similar meaning as rain,synonym,fillin
6669,annually,man,annually has a similar meaning as man,synonym,fillin
6670,annually,wine,annually has a similar meaning as wine,synonym,fillin
6671,annually,fruit,annually has a similar meaning as fruit,synonym,fillin
6672,apartment,furnished,the apartment was expensive because it was fully furnished.,hasproperty,fillin
6673,apartment,equipped,the apartment was expensive because it was fully equipped.,hasproperty,fillin
6674,apartment,booked,the apartment was expensive because it was fully booked.,hasproperty,fillin
6675,apartment,stocked,the apartment was expensive because it was fully stocked.,hasproperty,fillin
6676,apartment,occupied,the apartment was expensive because it was fully occupied.,hasproperty,fillin
6677,apartment,decorated,the apartment was expensive because it was fully decorated.,hasproperty,fillin
6678,apartment,clothed,the apartment was expensive because it was fully clothed.,hasproperty,fillin
6679,apartment,functional,the apartment was expensive because it was fully functional.,hasproperty,fillin
6680,apartment,lit,the apartment was expensive because it was fully lit.,hasproperty,fillin
6681,apartment,enclosed,the apartment was expensive because it was fully enclosed.,hasproperty,fillin
6682,apartment,furnished,the apartment was expensive because it was fully furnished,hasproperty,fillin
6683,apartment,occupied,the apartment was expensive because it was fully occupied,hasproperty,fillin
6684,apartment,booked,the apartment was expensive because it was fully booked,hasproperty,fillin
6685,apartment,rented,the apartment was expensive because it was fully rented,hasproperty,fillin
6686,apartment,equipped,the apartment was expensive because it was fully equipped,hasproperty,fillin
6687,apartment,covered,the apartment was expensive because it was fully covered,hasproperty,fillin
6688,apartment,owned,the apartment was expensive because it was fully owned,hasproperty,fillin
6689,apartment,leased,the apartment was expensive because it was fully leased,hasproperty,fillin
6690,apartment,enclosed,the apartment was expensive because it was fully enclosed,hasproperty,fillin
6691,apartment,clothed,the apartment was expensive because it was fully clothed,hasproperty,fillin
6692,apartment,building,an apartment is a type of building.,category-exemplar-pairs,fillin
6693,apartment,house,an apartment is a type of house.,category-exemplar-pairs,fillin
6694,apartment,housing,an apartment is a type of housing.,category-exemplar-pairs,fillin
6695,apartment,home,an apartment is a type of home.,category-exemplar-pairs,fillin
6696,apartment,dwelling,an apartment is a type of dwelling.,category-exemplar-pairs,fillin
6697,apartment,residence,an apartment is a type of residence.,category-exemplar-pairs,fillin
6698,apartment,structure,an apartment is a type of structure.,category-exemplar-pairs,fillin
6699,apartment,property,an apartment is a type of property.,category-exemplar-pairs,fillin
6700,apartment,hotel,an apartment is a type of hotel.,category-exemplar-pairs,fillin
6701,apartment,house,an apartment is a type of house,category-exemplar-pairs,fillin
6702,apartment,building,an apartment is a type of building,category-exemplar-pairs,fillin
6703,apartment,residence,an apartment is a type of residence,category-exemplar-pairs,fillin
6704,apartment,property,an apartment is a type of property,category-exemplar-pairs,fillin
6705,apartment,home,an apartment is a type of home,category-exemplar-pairs,fillin
6706,apartment,dwelling,an apartment is a type of dwelling,category-exemplar-pairs,fillin
6707,apartment,structure,an apartment is a type of structure,category-exemplar-pairs,fillin
6708,apartment,housing,an apartment is a type of housing,category-exemplar-pairs,fillin
6709,apartment,unit,an apartment is a type of unit,category-exemplar-pairs,fillin
6710,apartment,house,apartment has a similar meaning as house.,synonym,fillin
6711,apartment,home,apartment has a similar meaning as home.,synonym,fillin
6712,apartment,hotel,apartment has a similar meaning as hotel.,synonym,fillin
6713,apartment,residence,apartment has a similar meaning as residence.,synonym,fillin
6714,apartment,office,apartment has a similar meaning as office.,synonym,fillin
6715,apartment,village,apartment has a similar meaning as village.,synonym,fillin
6716,apartment,housing,apartment has a similar meaning as housing.,synonym,fillin
6717,apartment,studio,apartment has a similar meaning as studio.,synonym,fillin
6718,apartment,neighborhood,apartment has a similar meaning as neighborhood.,synonym,fillin
6719,apartment,house,apartment has a similar meaning as house,synonym,fillin
6720,apartment,home,apartment has a similar meaning as home,synonym,fillin
6721,apartment,food,apartment has a similar meaning as food,synonym,fillin
6722,apartment,bed,apartment has a similar meaning as bed,synonym,fillin
6723,apartment,hotel,apartment has a similar meaning as hotel,synonym,fillin
6724,apartment,garden,apartment has a similar meaning as garden,synonym,fillin
6725,apartment,car,apartment has a similar meaning as car,synonym,fillin
6726,apple,fruit,an apple is a kind of fruit.,category-exemplar-pairs,fillin
6727,apple,tree,an apple is a kind of tree.,category-exemplar-pairs,fillin
6728,apple,vegetable,an apple is a kind of vegetable.,category-exemplar-pairs,fillin
6729,apple,candy,an apple is a kind of candy.,category-exemplar-pairs,fillin
6730,apple,nut,an apple is a kind of nut.,category-exemplar-pairs,fillin
6731,apple,pear,an apple is a kind of pear.,category-exemplar-pairs,fillin
6732,apple,gum,an apple is a kind of gum.,category-exemplar-pairs,fillin
6733,apple,food,an apple is a kind of food.,category-exemplar-pairs,fillin
6734,apple,plant,an apple is a kind of plant.,category-exemplar-pairs,fillin
6735,apple,tree,an apple is a kind of tree,category-exemplar-pairs,fillin
6736,apple,fruit,an apple is a kind of fruit,category-exemplar-pairs,fillin
6737,apple,nut,an apple is a kind of nut,category-exemplar-pairs,fillin
6738,apple,plant,an apple is a kind of plant,category-exemplar-pairs,fillin
6739,apple,vegetable,an apple is a kind of vegetable,category-exemplar-pairs,fillin
6740,apple,cube,an apple is a kind of cube,category-exemplar-pairs,fillin
6741,apple,pear,an apple is a kind of pear,category-exemplar-pairs,fillin
6742,apple,human,an apple is a kind of human,category-exemplar-pairs,fillin
6743,apple,bird,an apple is a kind of bird,category-exemplar-pairs,fillin
6744,apple,fruit,an apple is a sweet fruit.,category-exemplar-pairs,fillin
6745,apple,potato,an apple is a sweet potato.,category-exemplar-pairs,fillin
6746,apple,dessert,an apple is a sweet dessert.,category-exemplar-pairs,fillin
6747,apple,food,an apple is a sweet food.,category-exemplar-pairs,fillin
6748,apple,vegetable,an apple is a sweet vegetable.,category-exemplar-pairs,fillin
6749,apple,cereal,an apple is a sweet cereal.,category-exemplar-pairs,fillin
6750,apple,snack,an apple is a sweet snack.,category-exemplar-pairs,fillin
6751,apple,drink,an apple is a sweet drink.,category-exemplar-pairs,fillin
6752,apple,fruit,an apple is a sweet fruit,category-exemplar-pairs,fillin
6753,apple,potato,an apple is a sweet potato,category-exemplar-pairs,fillin
6754,apple,object,an apple is a sweet object,category-exemplar-pairs,fillin
6755,apple,taste,an apple is a sweet taste,category-exemplar-pairs,fillin
6756,apple,nut,an apple is a sweet nut,category-exemplar-pairs,fillin
6757,apple,thing,an apple is a sweet thing,category-exemplar-pairs,fillin
6758,apple,food,an apple is a sweet food,category-exemplar-pairs,fillin
6759,apple,substance,an apple is a sweet substance,category-exemplar-pairs,fillin
6760,apple,fruit,an apple is a type of fruit.,category-exemplar-pairs,fillin
6761,apple,tree,an apple is a type of tree.,category-exemplar-pairs,fillin
6762,apple,food,an apple is a type of food.,category-exemplar-pairs,fillin
6763,apple,candy,an apple is a type of candy.,category-exemplar-pairs,fillin
6764,apple,vegetable,an apple is a type of vegetable.,category-exemplar-pairs,fillin
6765,apple,bread,an apple is a type of bread.,category-exemplar-pairs,fillin
6766,apple,plant,an apple is a type of plant.,category-exemplar-pairs,fillin
6767,apple,cereal,an apple is a type of cereal.,category-exemplar-pairs,fillin
6768,apple,pear,an apple is a type of pear.,category-exemplar-pairs,fillin
6769,apple,tree,an apple is a type of tree,category-exemplar-pairs,fillin
6770,apple,fruit,an apple is a type of fruit,category-exemplar-pairs,fillin
6771,apple,plant,an apple is a type of plant,category-exemplar-pairs,fillin
6772,apple,nut,an apple is a type of nut,category-exemplar-pairs,fillin
6773,apple,pear,an apple is a type of pear,category-exemplar-pairs,fillin
6774,apple,cube,an apple is a type of cube,category-exemplar-pairs,fillin
6775,apple,leaf,an apple is a type of leaf,category-exemplar-pairs,fillin
6776,apple,graph,an apple is a type of graph,category-exemplar-pairs,fillin
6777,apple,node,an apple is a type of node,category-exemplar-pairs,fillin
6778,apple,apples,an apple is one of the most common apples in the world,category-exemplar-pairs,fillin
6779,apple,fruits,an apple is one of the most common fruits in the world,category-exemplar-pairs,fillin
6780,apple,fruit,an apple is one of the most common fruit in the world,category-exemplar-pairs,fillin
6781,apple,foods,an apple is one of the most common foods in the world,category-exemplar-pairs,fillin
6782,apple,things,an apple is one of the most common things in the world,category-exemplar-pairs,fillin
6783,apple,food,an apple is one of the most common food in the world,category-exemplar-pairs,fillin
6784,apple,trees,an apple is one of the most common trees in the world,category-exemplar-pairs,fillin
6785,apple,items,an apple is one of the most common items in the world,category-exemplar-pairs,fillin
6786,apple,sweets,an apple is one of the most common sweets in the world,category-exemplar-pairs,fillin
6787,apple,objects,an apple is one of the most common objects in the world,category-exemplar-pairs,fillin
6788,apple,animals,an apple is one of the most common animals in the world,category-exemplar-pairs,fillin
6789,apple,fruit,apple is a delicious type of fruit.,category-exemplar-pairs,fillin
6790,apple,food,apple is a delicious type of food.,category-exemplar-pairs,fillin
6791,apple,pie,apple is a delicious type of pie.,category-exemplar-pairs,fillin
6792,apple,bread,apple is a delicious type of bread.,category-exemplar-pairs,fillin
6793,apple,dessert,apple is a delicious type of dessert.,category-exemplar-pairs,fillin
6794,apple,candy,apple is a delicious type of candy.,category-exemplar-pairs,fillin
6795,apple,meat,apple is a delicious type of meat.,category-exemplar-pairs,fillin
6796,apple,apples,apple is a delicious type of apples.,category-exemplar-pairs,fillin
6797,apple,vegetable,apple is a delicious type of vegetable.,category-exemplar-pairs,fillin
6798,apple,fruit,apple is a delicious type of fruit,category-exemplar-pairs,fillin
6799,apple,food,apple is a delicious type of food,category-exemplar-pairs,fillin
6800,apple,tree,apple is a delicious type of tree,category-exemplar-pairs,fillin
6801,apple,candy,apple is a delicious type of candy,category-exemplar-pairs,fillin
6802,apple,pie,apple is a delicious type of pie,category-exemplar-pairs,fillin
6803,apple,bread,apple is a delicious type of bread,category-exemplar-pairs,fillin
6804,apple,nut,apple is a delicious type of nut,category-exemplar-pairs,fillin
6805,apple,dessert,apple is a delicious type of dessert,category-exemplar-pairs,fillin
6806,apple,meat,apple is a delicious type of meat,category-exemplar-pairs,fillin
6807,apple,fruit,apple is a sweet fruit.,category-exemplar-pairs,fillin
6808,apple,food,apple is a sweet food.,category-exemplar-pairs,fillin
6809,apple,potato,apple is a sweet potato.,category-exemplar-pairs,fillin
6810,apple,dessert,apple is a sweet dessert.,category-exemplar-pairs,fillin
6811,apple,taste,apple is a sweet taste.,category-exemplar-pairs,fillin
6812,apple,vegetable,apple is a sweet vegetable.,category-exemplar-pairs,fillin
6813,apple,variety,apple is a sweet variety.,category-exemplar-pairs,fillin
6814,apple,drink,apple is a sweet drink.,category-exemplar-pairs,fillin
6815,apple,flavor,apple is a sweet flavor.,category-exemplar-pairs,fillin
6816,apple,fruit,apple is a sweet fruit,category-exemplar-pairs,fillin
6817,apple,potato,apple is a sweet potato,category-exemplar-pairs,fillin
6818,apple,nut,apple is a sweet nut,category-exemplar-pairs,fillin
6819,apple,variety,apple is a sweet variety,category-exemplar-pairs,fillin
6820,apple,tree,apple is a sweet tree,category-exemplar-pairs,fillin
6821,apple,food,apple is a sweet food,category-exemplar-pairs,fillin
6822,apple,taste,apple is a sweet taste,category-exemplar-pairs,fillin
6823,apple,plant,apple is a sweet plant,category-exemplar-pairs,fillin
6824,apple,big,i like to eat big apple more.,hasproperty,fillin
6825,apple,second,he ate the second apple.,hasproperty,fillin
6826,apple,entire,he ate the entire apple.,hasproperty,fillin
6827,apple,small,he ate the small apple.,hasproperty,fillin
6828,apple,green,he ate the green apple.,hasproperty,fillin
6829,apple,red,he ate the red apple.,hasproperty,fillin
6830,apple,green,he ate the green apple,hasproperty,fillin
6831,apple,golden,he ate the golden apple,hasproperty,fillin
6832,apple,red,he ate the red apple,hasproperty,fillin
6833,apple,wrong,he ate the wrong apple,hasproperty,fillin
6834,apple,bad,he ate the bad apple,hasproperty,fillin
6835,argument,communication,an argument is a form of communication with opposing views.,category-exemplar-pairs,fillin
6836,argument,dialogue,an argument is a form of dialogue with opposing views.,category-exemplar-pairs,fillin
6837,argument,discourse,an argument is a form of discourse with opposing views.,category-exemplar-pairs,fillin
6838,argument,debate,an argument is a form of debate with opposing views.,category-exemplar-pairs,fillin
6839,argument,reasoning,an argument is a form of reasoning with opposing views.,category-exemplar-pairs,fillin
6840,argument,discussion,an argument is a form of discussion with opposing views.,category-exemplar-pairs,fillin
6841,argument,conversation,an argument is a form of conversation with opposing views.,category-exemplar-pairs,fillin
6842,argument,interaction,an argument is a form of interaction with opposing views.,category-exemplar-pairs,fillin
6843,argument,disagreement,an argument is a form of disagreement with opposing views.,category-exemplar-pairs,fillin
6844,argument,discourse,an argument is a form of discourse with opposing views,category-exemplar-pairs,fillin
6845,argument,reasoning,an argument is a form of reasoning with opposing views,category-exemplar-pairs,fillin
6846,argument,dialogue,an argument is a form of dialogue with opposing views,category-exemplar-pairs,fillin
6847,argument,communication,an argument is a form of communication with opposing views,category-exemplar-pairs,fillin
6848,argument,agreement,an argument is a form of agreement with opposing views,category-exemplar-pairs,fillin
6849,argument,discussion,an argument is a form of discussion with opposing views,category-exemplar-pairs,fillin
6850,argument,conversation,an argument is a form of conversation with opposing views,category-exemplar-pairs,fillin
6851,argument,debate,an argument is a form of debate with opposing views,category-exemplar-pairs,fillin
6852,argument,interaction,an argument is a form of interaction with opposing views,category-exemplar-pairs,fillin
6853,aroused,sex,"to have sex, i need to be aroused.",has-prerequisite,fillin
6854,aroused,control,"to have control, i need to be aroused.",has-prerequisite,fillin
6855,aroused,fun,"to have fun, i need to be aroused.",has-prerequisite,fillin
6856,aroused,sex,"to have sex, i need to be aroused",has-prerequisite,fillin
6857,aroused,intercourse,"to have intercourse, i need to be aroused",has-prerequisite,fillin
6858,aroused,orgasm,"to have orgasm, i need to be aroused",has-prerequisite,fillin
6859,aroused,feelings,"to have feelings, i need to be aroused",has-prerequisite,fillin
6860,aroused,fun,"to have fun, i need to be aroused",has-prerequisite,fillin
6861,assistance,providing,providing benefits is a type of assistance that is needed.,category-exemplar-pairs,fillin
6862,assistance,employee,employee benefits is a type of assistance that is needed.,category-exemplar-pairs,fillin
6863,assistance,personal,personal benefits is a type of assistance that is needed.,category-exemplar-pairs,fillin
6864,assistance,social,social benefits is a type of assistance that is needed.,category-exemplar-pairs,fillin
6865,assistance,direct,direct benefits is a type of assistance that is needed.,category-exemplar-pairs,fillin
6866,assistance,financial,financial benefits is a type of assistance that is needed.,category-exemplar-pairs,fillin
6867,assistance,public,public benefits is a type of assistance that is needed.,category-exemplar-pairs,fillin
6868,assistance,employment,employment benefits is a type of assistance that is needed.,category-exemplar-pairs,fillin
6869,assistance,obtaining,obtaining benefits is a type of assistance that is needed.,category-exemplar-pairs,fillin
6870,assistance,health,health benefits is a type of assistance that is needed.,category-exemplar-pairs,fillin
6871,assistance,providing,providing benefits is a type of assistance that is needed,category-exemplar-pairs,fillin
6872,assistance,giving,giving benefits is a type of assistance that is needed,category-exemplar-pairs,fillin
6873,assistance,social,social benefits is a type of assistance that is needed,category-exemplar-pairs,fillin
6874,assistance,obtaining,obtaining benefits is a type of assistance that is needed,category-exemplar-pairs,fillin
6875,assistance,getting,getting benefits is a type of assistance that is needed,category-exemplar-pairs,fillin
6876,assistance,direct,direct benefits is a type of assistance that is needed,category-exemplar-pairs,fillin
6877,assistance,positive,positive benefits is a type of assistance that is needed,category-exemplar-pairs,fillin
6878,assistance,provided,provided benefits is a type of assistance that is needed,category-exemplar-pairs,fillin
6879,attend,noun,attend is the synonym of the noun,synonym,fillin
6880,attend,adjective,attend is the synonym of the adjective,synonym,fillin
6881,attend,second,attend is the synonym of the second,synonym,fillin
6882,attend,word,attend is the synonym of the word,synonym,fillin
6883,attend,verb,attend is the synonym of the verb,synonym,fillin
6884,attend,knew,"if you knew the festival, you did not attend it.",antonym,fillin
6885,attend,saw,"if you saw the festival, you did not attend it.",antonym,fillin
6886,attend,wanted,"if you wanted the festival, you did not attend it.",antonym,fillin
6887,attend,missed,"if you missed the festival, you did not attend it.",antonym,fillin
6888,attend,remembered,"if you remembered the festival, you did not attend it.",antonym,fillin
6889,attend,remember,"if you remember the festival, you did not attend it.",antonym,fillin
6890,attend,attended,"if you attended the festival, you did not attend it.",antonym,fillin
6891,attend,entered,"if you entered the festival, you did not attend it.",antonym,fillin
6892,attend,heard,"if you heard the festival, you did not attend it.",antonym,fillin
6893,attend,left,"if you left the festival, you did not attend it.",antonym,fillin
6894,attend,remember,"if you remember the festival, you did not attend it",antonym,fillin
6895,attend,know,"if you know the festival, you did not attend it",antonym,fillin
6896,attend,attended,"if you attended the festival, you did not attend it",antonym,fillin
6897,attend,knew,"if you knew the festival, you did not attend it",antonym,fillin
6898,attend,missed,"if you missed the festival, you did not attend it",antonym,fillin
6899,attend,saw,"if you saw the festival, you did not attend it",antonym,fillin
6900,attend,remembered,"if you remembered the festival, you did not attend it",antonym,fillin
6901,avoid,fear,avoid is the opposite of fear.,antonym,fillin
6902,avoid,love,avoid is the opposite of love.,antonym,fillin
6903,avoid,hate,avoid is the opposite of hate.,antonym,fillin
6904,avoid,desire,avoid is the opposite of desire.,antonym,fillin
6905,avoid,killing,avoid is the opposite of killing.,antonym,fillin
6906,avoid,escape,avoid is the opposite of escape.,antonym,fillin
6907,avoid,return,avoid is the opposite of return.,antonym,fillin
6908,avoid,risk,avoid is the opposite of risk.,antonym,fillin
6909,avoid,avoidance,avoid is the opposite of avoidance.,antonym,fillin
6910,avoid,violence,avoid is the opposite of violence.,antonym,fillin
6911,avoid,water,avoid is the opposite of water,antonym,fillin
6912,avoid,zero,avoid is the opposite of zero,antonym,fillin
6913,avoid,light,avoid is the opposite of light,antonym,fillin
6914,aware,awareness,aware has a similar meaning as awareness.,synonym,fillin
6915,aware,knowing,aware has a similar meaning as knowing.,synonym,fillin
6916,aware,knowledge,aware has a similar meaning as knowledge.,synonym,fillin
6917,aware,fear,aware has a similar meaning as fear.,synonym,fillin
6918,aware,yes,aware has a similar meaning as yes.,synonym,fillin
6919,aware,conscious,aware has a similar meaning as conscious.,synonym,fillin
6920,aware,understanding,aware has a similar meaning as understanding.,synonym,fillin
6921,aware,seeing,aware has a similar meaning as seeing.,synonym,fillin
6922,aware,water,aware has a similar meaning as water,synonym,fillin
6923,aware,love,aware has a similar meaning as love,synonym,fillin
6924,aware,rain,aware has a similar meaning as rain,synonym,fillin
6925,aware,man,aware has a similar meaning as man,synonym,fillin
6926,bathrooms,cleaned,bathrooms need to be cleaned frequently.,has-prerequisite,fillin
6927,bathrooms,changed,bathrooms need to be changed frequently.,has-prerequisite,fillin
6928,bathrooms,checked,bathrooms need to be checked frequently.,has-prerequisite,fillin
6929,bathrooms,washed,bathrooms need to be washed frequently.,has-prerequisite,fillin
6930,bathrooms,visited,bathrooms need to be visited frequently.,has-prerequisite,fillin
6931,bathrooms,updated,bathrooms need to be updated frequently.,has-prerequisite,fillin
6932,bathrooms,clean,bathrooms need to be clean frequently.,has-prerequisite,fillin
6933,bathrooms,closed,bathrooms need to be closed frequently.,has-prerequisite,fillin
6934,bathrooms,cleaned,bathrooms need to be cleaned frequently,has-prerequisite,fillin
6935,bathrooms,changed,bathrooms need to be changed frequently,has-prerequisite,fillin
6936,bathrooms,visited,bathrooms need to be visited frequently,has-prerequisite,fillin
6937,bathrooms,checked,bathrooms need to be checked frequently,has-prerequisite,fillin
6938,bathrooms,washed,bathrooms need to be washed frequently,has-prerequisite,fillin
6939,bathrooms,updated,bathrooms need to be updated frequently,has-prerequisite,fillin
6940,bathrooms,clean,bathrooms need to be clean frequently,has-prerequisite,fillin
6941,bathrooms,inspected,bathrooms need to be inspected frequently,has-prerequisite,fillin
6942,bathrooms,filled,bathrooms need to be filled frequently,has-prerequisite,fillin
6943,battle,charge,a charge is a part of a battle.,partof,fillin
6944,battle,skirmish,a skirmish is a part of a battle.,partof,fillin
6945,battle,march,a march is a part of a battle.,partof,fillin
6946,battle,retreat,a retreat is a part of a battle.,partof,fillin
6947,battle,siege,a siege is a part of a battle.,partof,fillin
6948,battle,diversion,a diversion is a part of a battle.,partof,fillin
6949,battle,melee,a melee is a part of a battle.,partof,fillin
6950,battle,counterattack,a counterattack is a part of a battle.,partof,fillin
6951,battle,duel,a duel is a part of a battle.,partof,fillin
6952,battle,person,a person is a part of a battle,partof,fillin
6953,battle,warrior,a warrior is a part of a battle,partof,fillin
6954,battle,man,a man is a part of a battle,partof,fillin
6955,battle,soldier,a soldier is a part of a battle,partof,fillin
6956,battle,woman,a woman is a part of a battle,partof,fillin
6957,battle,fighter,a fighter is a part of a battle,partof,fillin
6958,battle,sword,a sword is a part of a battle,partof,fillin
6959,battle,knight,a knight is a part of a battle,partof,fillin
6960,battle,horse,a horse is a part of a battle,partof,fillin
6961,battle,campaign,a battle is a smaller part of a campaign.,partof,fillin
6962,battle,war,a battle is a smaller part of a war.,partof,fillin
6963,battle,conflict,a battle is a smaller part of a conflict.,partof,fillin
6964,battle,siege,a battle is a smaller part of a siege.,partof,fillin
6965,battle,fight,a battle is a smaller part of a fight.,partof,fillin
6966,battle,game,a battle is a smaller part of a game.,partof,fillin
6967,battle,combat,a battle is a smaller part of a combat.,partof,fillin
6968,battle,tournament,a battle is a smaller part of a tournament.,partof,fillin
6969,battle,strategy,a battle is a smaller part of a strategy.,partof,fillin
6970,battle,war,a battle is a smaller part of a war,partof,fillin
6971,battle,person,a battle is a smaller part of a person,partof,fillin
6972,battle,family,a battle is a smaller part of a family,partof,fillin
6973,battle,group,a battle is a smaller part of a group,partof,fillin
6974,battle,conflict,a battle is a smaller part of a conflict,partof,fillin
6975,battle,division,a battle is a smaller part of a division,partof,fillin
6976,battle,town,a battle is a smaller part of a town,partof,fillin
6977,battle,city,a battle is a smaller part of a city,partof,fillin
6978,battle,village,a battle is a smaller part of a village,partof,fillin
6979,battle,death,death is another word for battle.,synonym,fillin
6980,battle,war,war is another word for battle.,synonym,fillin
6981,battle,combat,combat is another word for battle.,synonym,fillin
6982,battle,blood,blood is another word for battle.,synonym,fillin
6983,battle,war,war is another word for battle,synonym,fillin
6984,battle,ka,ka is another word for battle,synonym,fillin
6985,battle,combat,combat is another word for battle,synonym,fillin
6986,battle,la,la is another word for battle,synonym,fillin
6987,battle,hell,hell is another word for battle,synonym,fillin
6988,battle,death,death is another word for battle,synonym,fillin
6989,beautiful,good,beautiful has a similar meaning as good.,synonym,fillin
6990,beautiful,sweet,beautiful has a similar meaning as sweet.,synonym,fillin
6991,beautiful,perfect,beautiful has a similar meaning as perfect.,synonym,fillin
6992,beautiful,love,beautiful has a similar meaning as love.,synonym,fillin
6993,beautiful,dear,beautiful has a similar meaning as dear.,synonym,fillin
6994,beautiful,lovely,beautiful has a similar meaning as lovely.,synonym,fillin
